"subject","trial_num","Peak_17ms_euro","Peak_50ms_euro","Peak_100ms_euro","Peak_17ms_cent","Peak_50ms_cent","Peak_100ms_cent"
2,1,0.647624872579001,0.664818212708121,0.621474685694869,0.666571525654094,0.654787631668366,0.610112130479103
3,1,0.509159296533496,0.588736403375013,0.693544779912575,0.471708854325506,0.439808884822609,0.385422384873437
4,1,0.527159946832078,0.563579973416039,0.616915275931669,0.517835868655541,0.50856102003643,0.455412789839019
5,1,0.422851934708758,0.456524981357196,0.734427044494159,0.456193553732704,0.351528709917972,0.277388350318999
6,1,0.557142029992473,0.567031439986104,0.607631289444734,0.570957095709571,0.571628741821551,0.509686758149499
7,1,0.460184213594497,0.661490031479538,0.749772647778944,0.464428121720881,0.499242159263146,0.251673079165209
8,1,0.0973512211902305,0.0992913656690747,0.676546267629859,0.108427932576539,0.0985896112831097,0.209466804265566
9,1,0.585942180424939,0.622765586903518,0.690714036920934,0.581010101010101,0.523970741901776,0.509829327760362
10,1,0.603674030913652,0.602994254268835,0.665048150845674,0.549243343853686,0.606328396860079,0.553710447519625
11,1,0.748057498057498,0.727602952602953,0.747494172494173,0.73057498057498,0.743667443667444,0.681157731157731
12,1,0.516750524109015,0.595366876310273,0.6658071278826,0.512285115303983,0.249559748427673,0.286561844863732
13,1,0.645984421165727,0.625015668367804,0.629707225355896,0.620145044319097,0.634291342107619,0.647810905183991
14,1,0.484624381466487,0.49855150697256,0.490148448043185,0.459505173189384,0.471003148897886,0.48582995951417
15,1,0.730750719023302,0.767083406703058,0.811926982449962,0.731008980454305,0.738028995715208,0.700545870751893
16,1,0.639119911991199,0.671991199119912,0.705368536853685,0.654147414741474,0.587194719471947,0.618767876787679
17,1,0.584360056258791,0.631148616971402,0.664716361931552,0.616108766994843,0.622991092358181,0.517205813408345
18,1,0.509033491232444,0.623385689354276,0.669691681210006,0.569284467713787,0.577129560375634,0.543721432726668
19,1,0.610893246187364,0.614830376595082,0.631419234360411,0.63042328042328,0.604450669156552,0.541892312480548
20,1,0.747716049382716,0.754907407407407,0.784351851851852,0.769228395061728,0.7075,0.375493827160494
21,1,0.393434343434343,0.416738816738817,0.487337662337662,0.388347763347763,0.453138528138528,0.428787878787879
22,1,0.743351158645276,0.742139037433155,0.726654783125371,0.740510992275698,0.728853238265003,0.732560903149138
23,1,0.742922799826098,0.647226880317993,0.598273399167754,0.588224333892305,0.541407366002112,0.516862306689025
